Image,Brand,Category,SubCategory,"Product Name",Features/Description,"SKU/Product Code","Cost Ex GST","Cost Inc GST",RRP,"P&H Ex GST","Stock on Hand",Status,Comments
http://www.harveynormanpromotions.com.au/media/catalog/product//a/h/ah2063_h.jpg,Gasmate,Leisure,"Outdoor Heating","Heater - 9 Hour Area Heater"," A practical alternative to a Patio Heater where ceiling clearance may be an issue  Rotary direct ignition  Maximum output 40MJ/h  Adjustable heat output  Includes wheels  Includes a safety &lsquo;tip-over&rsquo; switch that halts supply of gas to the unit should it be accidentally knocked over  Flame safeguard system for enhanced safety  Complete with hose and regulator  For outdoor use only  AGA Certified  Height 1350mm  Width 540mm  Charcoal powder coated. ",AH2063,285.6000,314.16000,379.0000,60.00,6,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//m/c/mcg30_b_1_.jpg,Euromaid,Microwaves,"Convection Microwaves","Euromaid 30L Convection Microwave With Trim Kit","  Multi&#45;function Cooking&#58; Microwave  Grilling  Convection Combination Cooking&#58; Convection &#43; Microwave  Convection &#43; Grill  Grill &#43; Microwave Auto Cook Functions Child Lock Function 1200 watt Grill 900 watt Microwave 1350 watt Convection Dimensions &#40;WxDxH&#41;&#58; 520 x 600 x 376mm ",MCG30,329.0000,361.90000,499.0000,66.00,0,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//n/n/nncf770m_b.jpg,Panasonic,Microwaves,"Convection Microwaves","Panasonic 27L Inverter Convection Microwave","  Inverter Cooking Technology Flatbed design &#40;no turntable&#41; 1 000W &#40;microwave&#41;  1 000W &#40;grill&#41;  1 400W &#40;fan&#41; Pop up dial & Button control panel Half mirror door 15 menus Auto reheat Turbo defrost Child lock Dimensions &#40;HxWxD&#41;&#58; 326 x 529 x 494mm ",NNCF770M,497.0000,546.70000,719.0000,25.00,13,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//p/h/ph2063_1.jpg,Gasmate,Leisure,"Outdoor Heating","Heater - 9 Hour Nova Patio Heater"," The ideal solution for extending the season of outdoor entertaining  &nbsp;Piezo direct ignition  Max output 40MJ/h  Adjustable heat output  &nbsp;Includes wheels  Operates for approximately 9 hours on properly filled 9Kg propane cylinder  Includes a safety 'tip-over' switch that halts suppy of gas to the unit should it be accidentally knocked over  Flame safeguard system for enhanced safety  &nbsp;Complete with hose and regulator  Outdoor use only  AGA certified. Charcoal Hammertone finish. ",PH2063,201.6000,221.76000,299.0000,60.00,2,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//s/x/sx50hs_h.jpg,Canon,Cameras,"Digital Still Cameras","12.1MP 50x Optical Zoom Digital Still Camera Black","  Get superior zoom and photo quality without sacrificing the beauty of the compact range in the Canon PowerShot SX50-HS. Boasting a massive 50x Optical zoom and 12.1 megapixels you can now capture shots that you weren&rsquo;t able to manage before on similarly compact cameras.    Superior Zoom  Not only does the Canon PowerShot SX50-HS allow you to reach an amazing 50x optical zoom  but a 100x ZoomPlus that still affords you a high level of image clarity. You don't need to get close to the action to snap a great shot of it with the Canon PowerShot SX50-HS.  Intelligent Technology  Blurring will no longer be an issue  with automatic image stabilisation in different shooting situations. This kicks in with photos as well as movies  suppressing blurring and allowing you to not worry when the ride gets bumpy.  Quality Image  The DiG!C 5 Image Processor allows very natural looking images with reduced noise in the image and an improved white balance. Not to mention the 12.1 megapixels that will leave your image looking stunning  regardless of lighting conditions.  ",SX50HS,415.2400,456.76400,549.0000,12.00,5,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//1/a/1a2_h.jpg,Jamo,Components,Speakers,"Outdoor Speaker 50W water resistant Black (PAIR)"," The Indoor/Outdoor 1A2 is a 4 1/2in 2-way speaker in the popular series of versatile models for both indoor and outdoor applications. This compact model has great sonic qualities  elegant design  and a flexible mounting system. The series is popular in commercial installations  for examples in retail outlets. For the private household  these speakers are ideal for the patio  in the garden  or by the pool. The Indoor/Outdoor 1A is available in black and white. ",1A2-BLACK,278.0000,305.80000,449.0000,15.00,2,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//1/a/1a2white_b_2.jpg,Jamo,Components,Speakers,"Outdoor Speakers 50W Water Resistant White (PAIR)"," The Indoor/Outdoor 1A2 is a 4 1/2in 2-way speaker in the popular series of versatile models for both indoor and outdoor applications. This compact model has great sonic qualities  elegant design  and a flexible mounting system. The series is popular in commercial installations  for examples in retail outlets. For the private household  these speakers are ideal for the patio  in the garden  or by the pool. The Indoor/Outdoor 1A is available in black and white. ",1A2-WHITE,278.0000,305.80000,449.0000,15.00,2,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//3/a/3a2black_b.jpg,Jamo,Components,Speakers,"5 1/4 inch Indoor Outdoor Speaker (PAIR)"," The Indoor/Outdoor 3A2 is a 5 1/4in 2-way speaker in the popular series of versatile models for both indoor and outdoor applications. This second largest model has great sonic qualities  elegant design  and a flexible mounting system. The series is popular in commercial installations  for examples in retail outlets. For the private household  these speakers are ideal for the patio  in the garden or by the pool. The Indoor/Outdoor 3A is available in black and white. ",3A2-BLACK,495.0000,544.50000,799.0000,15.00,1,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//1/a/1a2white_b.jpg,Jamo,Components,Speakers,"5 1/4 inch Indoor Outdoor Speaker (PAIR)"," The Indoor/Outdoor 3A2 is a 5 1/4in 2-way speaker in the popular series of versatile models for both indoor and outdoor applications. This second largest model has great sonic qualities  elegant design  and a flexible mounting system. The series is popular in commercial installations  for examples in retail outlets. For the private household  these speakers are ideal for the patio  in the garden or by the pool. The Indoor/Outdoor 3A is available in black and white. ",3A2-WHITE,495.0000,544.50000,799.0000,15.00,1,Enabled,
http://www.harveynormanpromotions.com.au/media/catalog/product//5/5/552426--c.jpg,Morrison,Gardening,"Blower Vacuums","Morrison Electric Blower Vac","  Tidying up has never been easier! The powerful 2400 Watt Morrison vacuum blower provides a variable speed engine producing blowing speeds of up to 270km/h and a suction capability of up to 780m3/h.    Power Features  Save yourself time around the garden relying on this Morrison electric vacuum blower that offers 2.4kW power output and a variable speed engine with blowing capability of 270km/h and 780m3/h suction power.  Easy-to-Use  You can easily switch between vacuuming and blowing modes thanks to an easy action leaver on this Morrison vacuum blower. Its 45 Litre capacity vacuum bag  Quick release bag and should strap help simplify garden maintenance.  Clean and Tidy  Make the most of this handy electric Morrison vacuum blower to clear up leaves and debris on your lawn and driveway. It's the perfect tool for effectively and efficiently removing mess so your garden maintains its style.  ",552426,73.0300,80.33300,99.0000,25.00,10,Enabled,
