Image(url or name  if adding the images file),Brand,Category,SubCategory,Product Name,Features/Description,SKU/Product Code,Cost Ex GST,Cost Inc GST,RRP,P&H Ex GST,Status,GFK Ranking,Comments
http://www.harveynormancommercial.com.au/media/catalog/product//a/h/ah2063_h.jpg,Gasmate,Leisure,Outdoor Heating,Heater - 9 Hour Area Heater, A practical alternative to a Patio Heater where ceiling clearance may be an issue  Rotary direct ignition  Maximum output 40MJ/h  Adjustable heat output  Includes wheels  Includes a safety &lsquo;tip-over&rsquo; switch that halts supply of gas to the unit should it be accidentally knocked over  Flame safeguard system for enhanced safety  Complete with hose and regulator  For outdoor use only  AGA Certified  Height 1350mm  Width 540mm  Charcoal powder coated. ,AH2063,241.92,266.112,339,60,Enabled,-1,
http://www.harveynormancommercial.com.au/media/catalog/product//d/m/dmcgx1xgns_h_4.jpg,Panasonic,Cameras,Digital Still Cameras,GX1 14-42 MM PZ Lens Digital Camera Silver, Ultra compact premium design  16MP Live MOS Sensor for SLR image quality  Easy manual control with adaptable function buttons  1920 x 1080 Full-HD video shoots quality video and stills  Touch screen for easy and intuitive operation. ,DMCGX1XGNS,889.68,978.648,1199,12,Enabled,-1, This product is being discontinued from our 
http://www.harveynormancommercial.com.au/media/catalog/product//t/w/twin.jpg,Panasonic,Cameras,Digital Still Cameras,GX1 Twin Lens 14-42 + 45-150mm Digital Camera in Black, The Lumix DMC-GX1 showcases a classic design. It is engineered for quality in both form and function  with high-performance features and a high-grade chassis. Packed inside its sleek body is a large sensor for capturing D-SLR-like image quality as well as an accurate  super-fast auto focus and many advanced features. The result is nothing less than an elegant  easy-to-use interchangeable lens camera delivering polished images.  Ultra compact premium design  16MP Live MOS Sensor for SLR image quality. Easy manual control with adaptable function buttons  1920 x 1080 Full-HD video shoots quality video and stills  3in Touch screen for easy and intuitive operation  3D Shooting Capability  iA+ Intelligent Auto. Light Speed Auto Focus. ,DMCGX1TWIN,890,979,1199,15,Enabled,-1, This product is being discontinued from our 
http://www.harveynormancommercial.com.au/media/catalog/product//m/c/mcg30_b_1_.jpg,Euromaid,Microwaves,Convection Microwaves,Euromaid 30l Convection Microwave With Trim Kit,  Multi&#45;function Cooking&#58; Microwave  Grilling  Convection Combination Cooking&#58; Convection &#43; Microwave  Convection &#43; Grill  Grill &#43; Microwave Auto Cook Functions Child Lock Function 1200 watt Grill 900 watt Microwave 1350 watt Convection Dimensions &#40;WxDxH&#41;&#58; 520 x 600 x 376mm ,MCG30,329,361.9,499,30,Enabled,-1,
http://www.harveynormancommercial.com.au/media/catalog/product//d/m/dmcgx1xgnk-1..jpg,Panasonic,Cameras,Digital Still Cameras,GX1 14-42MM PZ Lens Digital Camera in Black, Ultra compact premium design  16MP Live MOS Sensor for SLR image quality  Easy manual control with adaptable function buttons  1920 x 1080 Full-HD video shoots quality video and stills  Touch screen for easy and intuitive operation. ,DMCGX1XGNK,890,979,1199,12,Enabled,-1, This product is being discontinued from our 
http://www.harveynormancommercial.com.au/media/catalog/product//d/m/dmcgx1kgnk.jpg,Panasonic,Cameras,Digital Still Cameras,Lumix 14-42mm Lens Kit  Black,  Features Superb Image Quality with a 16.0 megapixel Live MOS Sensor  Ergonomic design  Ultra Hig Light Speed AF  Controllability  Level Gauge  Creativity Control  Full HD Video in AVCHD/MPA  3.0in TFT LCD Screen  Movie Recoding  SD Card (SD/SDHC/SDXC)  17.3 x 13.0mm Image Sensor in 4:3 aspect ratio)  F52mm Filter Size  Power O.I.S Face Detection AF/AE  Subject Detection  Motion Detection  Scene Detection  Light Detection and I.R. Technology.  ,DMCGX1KGNK,741,815.1,899,12,Enabled,-1, This product is being discontinued from our 
http://www.harveynormancommercial.com.au/media/catalog/product//n/n/nncf770m_b.jpg,Panasonic,Microwaves,Convection Microwaves,Panasonic 27l Inverter Convection Microwave,  Inverter Cooking Technology Flatbed design &#40;no turntable&#41; 1 000W &#40;microwave&#41;  1 000W &#40;grill&#41;  1 400W &#40;fan&#41; Pop up dial & Button control panel Half mirror door 15 menus Auto reheat Turbo defrost Child lock Dimensions &#40;HxWxD&#41;&#58; 326 x 529 x 494mm ,NNCF770M,497,546.7,719,25,Enabled,-1,
http://www.harveynormancommercial.com.au/media/catalog/product//p/h/ph2063_1.jpg,Gasmate,Leisure,Outdoor Heating,Heater - 9 Hour Nova Patio Heater, The ideal solution for extending the season of outdoor entertaining  &nbsp;Piezo direct ignition  Max output 40MJ/h  Adjustable heat output  &nbsp;Includes wheels  Operates for approximately 9 hours on properly filled 9Kg propane cylinder  Includes a safety 'tip-over' switch that halts suppy of gas to the unit should it be accidentally knocked over  Flame safeguard system for enhanced safety  &nbsp;Complete with hose and regulator  Outdoor use only  AGA certified. Charcoal Hammertone finish. ,PH2063,201.6,221.76,299,60,Enabled,-1,
http://www.harveynormancommercial.com.au/media/catalog/product//s/x/sx50hs_h.jpg,Canon,Cameras,Digital Still Cameras,12.1MP 50x Optical Zoom Digital Still Camera Black,  Get superior zoom and photo quality without sacrificing the beauty of the compact range in the Canon PowerShot SX50-HS. Boasting a massive 50x Optical zoom and 12.1 megapixels you can now capture shots that you weren&rsquo;t able to manage before on similarly compact cameras.    Superior Zoom  Not only does the Canon PowerShot SX50-HS allow you to reach an amazing 50x optical zoom  but a 100x ZoomPlus that still affords you a high level of image clarity. You don't need to get close to the action to snap a great shot of it with the Canon PowerShot SX50-HS.  Intelligent Technology  Blurring will no longer be an issue  with automatic image stabilisation in different shooting situations. This kicks in with photos as well as movies  suppressing blurring and allowing you to not worry when the ride gets bumpy.  Quality Image  The DiG!C 5 Image Processor allows very natural looking images with reduced noise in the image and an improved white balance. Not to mention the 12.1 megapixels that will leave your image looking stunning  regardless of lighting conditions.  ,SX50HS,416,457.6,549,12,Enabled,-1,
http://www.harveynormancommercial.com.au/media/catalog/product//e/k/ekgc100zkaxsa.jpg,Samsung,Cameras,Digital Still Cameras,GC100 Galaxy Camera Black 16.3MP, Share your photos with 3G and WiFi connectivity  Android 4.1 Jelly Bean OS   Amazing 21x optical zoom  16MP CMOS sensor for high-quality photos and videos   Enjoy the HD Super Clear Touch Display  Edit your photos with the Photo Wizard. ,EKGC100ZKAXSA,380,418,569,12,Enabled,-1, This product is being discontinued from our 
